City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
97,Nakskov,DK,54.8373,11.1284,58.14,75,21,20.6,few clouds
98,Kromy,RU,52.6876,35.7667,71.82,66,54,6.51,broken clouds
99,Acapulco,MX,16.8634,-99.8901,80.76,86,29,3.15,scattered clouds
100,Simao,CN,22.7886,100.9748,80.04,62,10,2.71,clear sky
101,Piacabucu,BR,-10.4056,-36.4344,72.28,72,12,9.46,few clouds
102,Bluff,NZ,-46.6,168.3333,44.8,91,100,12.84,light rain
103,Faya,SA,18.3851,42.4509,66.31,62,62,4.03,broken clouds
104,Shubarkuduk,KZ,49.1447,56.4872,88.05,30,8,5.97,clear sky
105,Tuktoyaktuk,CA,69.4541,-133.0374,57.2,88,75,4.61,broken clouds
106,Tocopilla,CL,-22.092,-70.1979,61.43,67,78,3.56,broken clouds
107,Plettenberg Bay,ZA,-34.0527,23.3716,57.87,85,100,3.44,light rain
108,Antofagasta,CL,-23.65,-70.4,56.48,79,40,2.73,scattered clouds
109,Chapleau,CA,47.8405,-83.4034,51.33,93,64,4.03,broken clouds
110,Rocha,UY,-34.4833,-54.3333,43.84,96,0,3.33,clear sky
111,Rio Grande,BR,-32.035,-52.0986,47.95,94,0,6.87,clear sky
112,Otradnoye,RU,59.7775,30.8181,60.19,76,100,5.01,overcast clouds
113,Puerto Ayora,EC,-0.7393,-90.3518,70.56,92,43,1.99,scattered clouds
114,Buguruslan,RU,53.6554,52.442,77.85,41,60,3.36,broken clouds
115,Kahului,US,20.8947,-156.47,80.62,70,20,27.63,few clouds
116,Ormara,PK,25.2088,64.6357,82.22,84,96,15.17,overcast clouds
117,Ilulissat,GL,69.2167,-51.1,57.22,41,0,27.63,clear sky
118,Ranau,MY,5.9538,116.6641,81.25,53,88,0.81,overcast clouds
119,Tecoanapa,MX,16.5167,-98.75,80.55,85,94,3.94,overcast clouds
120,Daltenganj,IN,24.0333,84.0667,85.01,68,65,5.97,broken clouds
121,Zeya,RU,53.75,127.2667,66.04,66,96,3.31,overcast clouds
122,Airai,TL,-8.9266,125.4092,77.59,41,17,4.16,few clouds
123,Salalah,OM,17.0151,54.0924,77.09,100,90,4.61,light intensity drizzle
124,Zwedru,LR,6.0667,-8.1281,69.15,98,93,2.08,overcast clouds
125,Labuhan,ID,-6.8844,112.2051,87.49,54,56,2.93,broken clouds
126,Souillac,MU,-20.5167,57.5167,70.18,73,75,11.5,broken clouds
127,Sysert,RU,56.4953,60.8192,67.98,57,71,9.01,broken clouds
128,Peniche,PT,39.3558,-9.3811,69.76,95,77,5.12,broken clouds
129,Puerto Colombia,CO,10.9878,-74.9547,82.49,82,52,14.27,broken clouds
130,Cherskiy,RU,68.75,161.3,43.88,66,72,21.47,broken clouds
131,Ixtapa,MX,20.7,-105.2,77.31,93,57,2.33,broken clouds
132,Auki,SB,-8.7676,160.7034,80.42,83,34,6.62,scattered clouds
133,Norman Wells,CA,65.282,-126.8329,78.84,41,20,3.44,smoke
134,Castro,BR,-24.7911,-50.0119,44.56,97,13,3.22,few clouds
135,Blind River,CA,46.1834,-82.9582,62.71,69,95,5.57,overcast clouds
136,Hamilton,US,39.1834,-84.5333,65.95,80,1,0.0,clear sky
137,Madras,IN,13.0878,80.2785,89.58,51,20,12.66,few clouds
138,Belmonte,BR,-15.8631,-38.8828,64.9,74,100,12.68,overcast clouds
139,Bo Phloi,TH,14.3236,99.5161,92.32,51,97,14.56,overcast clouds
140,Mehamn,NO,71.0357,27.8492,46.58,81,75,8.05,moderate rain
141,Kapaa,US,22.0752,-159.319,84.18,77,75,5.99,broken clouds
142,Bayangol,RU,50.6977,103.4656,57.04,99,100,2.13,overcast clouds
143,Mahebourg,MU,-20.4081,57.7,70.09,73,75,11.5,broken clouds
144,Takoradi,GH,4.8845,-1.7554,74.34,92,6,5.14,clear sky
145,Severo-Kurilsk,RU,50.6789,156.125,57.7,67,22,13.6,few clouds
146,Ust-Tsilma,RU,65.441,52.1498,59.09,69,35,1.52,scattered clouds
147,Ust-Omchug,RU,61.15,149.6333,50.52,45,48,17.31,scattered clouds
148,Tessalit,ML,20.1986,1.0114,84.94,47,88,12.97,overcast clouds
149,Victoria,HK,22.2855,114.1577,91.96,81,100,1.01,light rain
150,Biak,ID,-0.9131,122.8766,82.51,70,16,5.21,few clouds
151,Goderich,CA,43.7501,-81.7165,65.91,82,23,9.22,few clouds
152,Padang,ID,-0.9492,100.3543,84.25,72,100,3.96,overcast clouds
153,Iqaluit,CA,63.7506,-68.5145,49.73,93,90,1.99,light rain
154,Fortuna,US,40.5982,-124.1573,55.92,91,20,9.22,few clouds
155,Ballina,AU,-28.8667,153.5667,67.78,86,100,6.22,overcast clouds
156,Nelson Bay,AU,-32.7167,152.15,68.09,64,74,11.79,broken clouds
157,Joensuu,FI,62.6012,29.7632,63.27,85,90,1.01,overcast clouds
158,Saint-Philippe,RE,-21.3585,55.7679,71.15,74,38,8.48,scattered clouds
159,Guerrero Negro,MX,27.9769,-114.0611,74.25,74,0,12.3,clear sky
160,Lipin Bor,RU,60.2622,37.9763,60.58,89,86,7.43,overcast clouds
161,Hilo,US,19.7297,-155.09,76.24,87,70,7.09,light rain
162,Vardo,NO,70.3705,31.1107,48.4,93,100,17.36,light rain
163,Chokurdakh,RU,70.6333,147.9167,51.04,47,30,7.05,scattered clouds
164,Xining,CN,36.6167,101.7667,78.94,37,58,9.04,broken clouds
165,Rio Bananal,BR,-19.265,-40.3333,58.12,85,78,4.07,broken clouds
166,Oudtshoorn,ZA,-33.5907,22.2014,52.16,85,50,1.88,scattered clouds
167,Faanui,PF,-16.4833,-151.75,77.9,71,24,14.72,few clouds
168,Hasaki,JP,35.7333,140.8333,90.28,81,45,11.81,scattered clouds
169,Touros,BR,-5.1989,-35.4608,74.3,80,8,15.84,clear sky
170,Bougouni,ML,11.417,-7.479,70.29,97,18,5.06,few clouds
171,Bang Saphan,TH,11.2126,99.5117,91.35,61,100,11.59,overcast clouds
172,Nola,IT,40.922,14.5329,79.16,59,3,2.86,clear sky
173,Savannah Bight,HN,16.45,-85.85,80.01,80,31,19.3,scattered clouds
174,Bengkulu,ID,-3.8004,102.2655,79.18,87,60,10.76,broken clouds
175,Abu Kamal,SY,34.4506,40.9171,88.16,27,0,10.04,clear sky
176,Pevek,RU,69.7008,170.3133,35.91,87,100,16.96,overcast clouds
177,Salinopolis,BR,-0.6136,-47.3561,76.87,81,54,3.8,broken clouds
178,Ayagoz,KZ,47.9714,80.4392,84.06,20,1,4.29,clear sky
179,Dwarka,IN,22.2394,68.9678,82.74,81,94,21.07,overcast clouds
180,Pangoa,PE,-12.1167,-73.0,64.49,73,30,2.89,scattered clouds
